HDR,ROLLING SYSTEM DEMAND
VD,20191010080500,32919
VD,20191010081000,32870
VD,20191010081500,32778
VD,20191010082000,32700
VD,20191010082500,32513
VD,20191010083000,32349
VD,20191010083500,32298
VD,20191010084000,32283
VD,20191010084500,32188
VD,20191010085000,32050
VD,20191010085500,31900
VD,20191010090000,31811
VD,20191010090500,31643
VD,20191010091000,31664
VD,20191010091500,31314
VD,20191010092000,31209
VD,20191010092500,31077
VD,20191010093000,30886
VD,20191010093500,30973
VD,20191010094000,30922
VD,20191010094500,30702
VD,20191010095000,30598
VD,20191010095500,30650
VD,20191010100000,30555
VD,20191010100500,30615
VD,20191010101000,30678
VD,20191010101500,30696
VD,20191010102000,30728
VD,20191010102500,30642
VD,20191010103000,30648
VD,20191010103500,30739
VD,20191010104000,30787
VD,20191010104500,30783
VD,20191010105000,30842
VD,20191010105500,30922
VD,20191010110000,31067
VD,20191010110500,31257
VD,20191010111000,31371
VD,20191010111500,31310
VD,20191010112000,31174
VD,20191010112500,31176
VD,20191010113000,31124
VD,20191010113500,31264
VD,20191010114000,31330
VD,20191010114500,31398
VD,20191010115000,31413
VD,20191010115500,31426
VD,20191010120000,31356
VD,20191010120500,31416
VD,20191010121000,31593
VD,20191010121500,31480
VD,20191010122000,31448
VD,20191010122500,31435
VD,20191010123000,31412
VD,20191010123500,31443
VD,20191010124000,31466
VD,20191010124500,31524
VD,20191010125000,31595
VD,20191010125500,31616
VD,20191010130000,31545
VD,20191010130500,31619
VD,20191010131000,31777
VD,20191010131500,31787
VD,20191010132000,31936
VD,20191010132500,31907
VD,20191010133000,32044
VD,20191010133500,32125
VD,20191010134000,32061
VD,20191010134500,31976
VD,20191010135000,31931
VD,20191010135500,31810
VD,20191010140000,31784
VD,20191010140500,30729
VD,20191010141000,27371
VD,20191010141500,27141
VD,20191010142000,32060
VD,20191010142500,32027
VD,20191010143000,32006
VD,20191010143500,32158
VD,20191010144000,32394
VD,20191010144500,32416
VD,20191010145000,32543
VD,20191010145500,32683
VD,20191010150000,32904
